name,name_ingles,level,flavour,description,details,page,somatic,verbal,material,cost,gp,ritual,concentration,abjuracion,conjuracion,adivinacion,encantamiento,evocacion,ilusionismo,nigromancia,transmutacion,como_usar,Clase del Hechizo
Alzar a los muertos,Raise Dead,5,La muerte recibe una segunda llamada.,"Con un toque, revives a una criatura muerta hace no más de 10 días que no fuera un muerto viviente. Vuelve a la vida con 1 punto de golpe y se neutraliza cualquier veneno que tuviera al morir.
El conjuro cierra heridas mortales pero no restaura partes del cuerpo perdidas; si faltan órganos esenciales, el conjuro falla.
Regresar de la muerte es traumático: el objetivo sufre -4 a todas las tiradas con d20. Al finalizar cada descanso largo, el penalizador se reduce en 1 hasta llegar a 0.
","Instant.
Toque
1 hora",241 MdJ*,TRUE,TRUE,TRUE,500 po*,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Directo,"Bardo, Clerigo, Paladín"
Amistad,Friends,Truco,Una chispa de carisma sobrenatural.,"Emanas mágicamente un sentimiento de amistad hacia una criatura que puedas ver dentro del alcance. El objetivo deberá superar una tirada de salvación de Sabiduría o tendrá el estado de hechizado hasta que termine el conjuro. El objetivo la supera automáticamente si no es un humanoide, si estás luchando contra él o si le has lanzado este conjuro en las últimas 24 horas.
El conjuro termina antes de tiempo si el objetivo recibe daño o si haces una tirada de ataque, causas daño u obligas a cualquier criatura a hacer una tirada de salvación. Cuando el conjuro termine, el objetivo sabrá que le hechizaste.","1 min
3 m / 10 f / 2 cas
Acción",242 MdJ,TRUE,FALSE,TRUE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TdS Sab.,"Bardo, Brujo, Hechicero, Mago"
Animar a los muertos,Animate Dead,3,Los caídos vuelven a moverse.,"Elige un montón de huesos o un cadáver de humanoide Mediano o Pequeño dentro del alcance; se convierte en un esqueleto si usas huesos o un zombi si usas cadáver. En cada turno, puedes usar una acción adicional para dar órdenes mentales a cada criatura a 18 m / 60 pies o menos; puedes dar órdenes a varias a la vez con la misma instrucción. Si no das órdenes, la criatura esquiva y se mueve solo para evitar daño. La criatura sigue tus órdenes hasta completar la tarea y permanece bajo tu control 24 horas; para extenderlo otras 24 horas, vuelve a lanzar el conjuro antes de que acabe el periodo actual, reforzando hasta cuatro criaturas ya animadas sin crear nuevas. Con un espacio de conjuro superior a 3, animas o refuerzas hasta dos criaturas adicionales por nivel; cada una debe provenir de un cadáver o montón de huesos distinto.
","Instant.
3 m / 10 f / 2 cas
1 min",242 MdJ*,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Directo,"Clerigo, Mago"
Animar objetos,Animate Objects,5,Lo inerte despierta y obedece.,"Animas objetos no mágicos dentro del alcance (máx. igual a tu modificador por aptitud mágica; Mediano o menor cuenta como 1, Grande como 2 y Enorme como 3). Cada objeto se convierte en un autómata bajo tu control hasta que termine el conjuro o llegue a 0 PG; actúa tras tu turno y obedece órdenes mentales como acción bonus (si no, esquiva). Al caer a 0 PG vuelve a ser objeto y el daño sobrante se transfiere. Con un espacio de conjuro de nivel superior. El daño del golpe de la criatura aumenta en 1d4 (Mediana o más pequeña), 1d6 (Grande) o 1d12 (Enorme) por cada nivel por encima de 5 que tenga el espacio.
","1 min
36 m / 120 f / 24 cas
Acción",242 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Bardo, Hechicero, Mago"
Antipatía/simpatía,Antipathy/Sympathy,8,Atracción irresistible o rechazo absoluto.,"Este conjuro permite atraer o repeler criaturas específicas. Debes elegir un objetivo dentro del alcance, como un objeto o criatura grande, y un tipo de criatura inteligente, como dragones o vampiros. Puedes elegir entre dos efectos: Antipatía o Simpatía.
Con Antipatía, las criaturas elegidas sienten una fuerte necesidad de alejarse del objetivo. Deben superar una tirada de salvación de Sabiduría al acercarse para no asustarse y seguirán asustadas mientras estén cerca del objetivo. 
Con Simpatía, las criaturas sienten la urgencia de acercarse al objetivo. Deben superar una tirada de salvación de Sabiduría para no tener que moverse hacia él. Si dañan al objetivo, pueden intentar acabar con el efecto mediante otra tirada de salvación de Sabiduría.","10 días
18 m / 60 f / 12 cas
1 hora",243 MdJ*,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TdS Sab.,"Bardo, Druida, Mago"
Apariencia,Seeming,5,Nada es lo que parece.,"Otorgas una apariencia ilusoria a las criaturas que veas en tu alcance. Un objetivo puede intentar resistirlo con una tirada de salvación de Carisma; si tiene éxito, no se ve afectado. Puedes darles la misma apariencia o diferentes, cambiando cuerpos y equipo. La ilusión puede hacer que las criaturas parezcan más altas o más bajas, y más pesadas o ligeras, aunque debe mantener la misma disposición básica de miembros. Sin embargo, los cambios no resisten una inspección física. Si alguien estudia a un objetivo, puede hacer una prueba de Inteligencia para descubrir que está disfrazado, si supera tu CD de salvación de hechizo.","8 horas
9 m / 30 f / 6 cas
Acción",243 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TdS Car.,"Bardo, Hechicero, Mago"
Arma elemental,Elemental Weapon,3,El arma adopta la furia del elemento.,"Un arma no mágica que toques se convierte en mágica. Elige uno de los siguientes tipos de daño: ácido, frío, fuego, relámpago o trueno. Mientras dure el conjuro, el arma tiene un bonificador de +1 a las tiradas de ataque y causa 1d4 de daño adicional del tipo elegido cuando acierte.
Con un espacio de conjuro de nivel superior. Si usas un espacio de conjuro de niveles 5 o 6, el bonificador a las tiradas de ataque aumenta en +2 y el daño adicional aumenta a 2d4. Si usas un espacio de conjuro de nivel 7 o superior, el bonificador aumenta a +3 y el daño adicional aumenta a 3d4.","1 hora
Toque
Acción",244 MdJ,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Druida, Explorador, Paladín"
Arma espiritual,Spiritual Weapon,2,Un arma hecha de fe combate por ti.,"Creas una fuerza espectral flotante con el aspecto de un arma de tu elección que permanece hasta que termine el conjuro. La fuerza aparece dentro del alcance en un espacio de tu elección y puedes hacer inmediatamente un ataque de conjuro cuerpo a cuerpo contra una criatura que esté a 1,5 m / 5 pies o menos de ella. Si acierta, el objetivo recibe una cantidad de daño de fuerza igual a 1d8 + tu modificador por aptitud mágica.
Como acción adicional en tus siguientes turnos, puedes mover la fuerza hasta 6 m / 20 pies y repetir el ataque contra una criatura que esté a 1,5 m / 5 pies o menos de ella.
Con un espacio de conjuro de nivel superior, el daño aumenta en 1d8 por cada nivel por encima de 2 que tenga el espacio.
","1 min
18 m / 60 f / 12 cas
Acción adicional",244 MdJ,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Directo,Clerigo
Arma magica,Magic Weapon,2,Tu arma resplandece.,"Tocas un arma no mágica. Hasta que el conjuro termine, esa arma se convierte en un arma mágica con un bonificador de +1 a las tiradas de ataque y de daño. El conjuro termina antes si lo vuelves a lanzar.
Con un espacio de conjuro de nivel superior, el bonificador aumenta a +2 si utilizas un espacio de niveles 3 a 5. El bonificador aumenta a +3 si utilizas un espacio de nivel 6 o superior.","1 h.
Toque
Acción adicional",245 MdJ,TRUE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,"Explorador, Hechicero, Mago, Paladín"
Armadura de Agathys,Armor of Agathys,1,El frío protege y castiga.,"Una escarcha mágica protectora te rodea y ganas 5 puntos de golpe temporales. Si una criatura te acierta con una tirada de ataque cuerpo a cuerpo antes de que el conjuro termine, dicha criatura sufre 5 de daño de frío. El conjuro termina antes de tiempo si no tienes puntos de golpe temporales.
Con un espacio de conjuro de nivel superior, los puntos de golpe temporales y el daño de frío aumentan en 5 por cada nivel por encima de 1 que tenga el espacio.
","1 hora
Lanzador
Acción adicional",245 MdJ,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,Brujo
Armadura de mago,Mage Armor,1,La magia te protege.,"Tocas a una criatura voluntaria que no lleva armadura. Hasta que el conjuro termine, la CA base del objetivo es de 13 más su modificador por Destreza. El conjuro termina antes si el objetivo se pone una armadura.","8 horas
Toque
Acción",245 MdJ,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Hechicero, Mago"
Asesino fantasmal,Phantasmal Killer,4,El terror te sigue desde dentro.,"Te conectas con las pesadillas de una criatura y creas una ilusión de sus miedos. El objetivo tira un dado de salvación de Sabiduría. Si falla, recibe 4d10 de daño psíquico y tiene desventaja en sus pruebas de característica y tiradas de ataque hasta que termine el conjuro. Si tiene éxito, recibe la mitad del daño y el conjuro se acaba. El objetivo tira de nuevo al final de cada turno. Si falla, sufre más daño psíquico. Si tiene éxito, el conjuro se termina. Usar un espacio de conjuro mayor aumenta el daño en 1d10 por cada nivel superior a 4.","1 min
36 m / 120 f / 24 cas
Acción",246 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TdS Sab.,"Bardo, Mago"
Aspectos animales,Animal Shapes,8,La bestia interior toma forma.,"Eliges cualquier número de criaturas dispuestas que veas dentro del alcance. Cada objetivo cambia a una Bestia Grande o menor de VD 4 o menos, pudiendo elegir una forma distinta para cada uno. En turnos posteriores, puedes usar una acción mágica para transformarlos de nuevo. Las estadísticas del objetivo se reemplazan por las de la Bestia elegida, pero mantiene tipo de criatura, puntos de golpe, dados de golpe, alineamiento, capacidad de comunicación e Inteligencia, Sabiduría y Carisma. Sus acciones se limitan a la anatomía de la Bestia y no puede lanzar hechizos. Su equipo se fusiona con la nueva forma y no puede usarlo. Obtiene puntos de golpe temporales iguales a los de la primera forma; desaparecen al terminar el hechizo. La transformación dura hasta que el conjuro termine o hasta que el objetivo le ponga fin como acción adicional.","24 horas
9 m / 30 f / 6 cas
Acción",246 MdJ*,TRUE,TRUE,FALSE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Directo,Druida
Atadura planar,Planar Binding,5,Ni siquiera otros planos te eluden.,"Intentas vincular a una criatura celestial, elemental, feérica o infernal para tu servicio. La criatura debe estar cerca durante el lanzamiento del conjuro (normalmente, la criatura se invoca primero para atraparla mientras se lanza este). Al finalizar, debe superar una prueba de Carisma o quedará vinculada a ti mientras dure el conjuro. La criatura debe seguir tus órdenes, pero si es hostil, puede intentar manipularlas. Si cumple tus órdenes antes de que termine el conjuro, regresará para informarte, a menos que estés en otro plano. Usar espacios de conjuro de nivel superior aumenta la duración del vínculo: 10 días con nivel 6, 30 días con 7, 180 días con 8 y 366 días con 9.","24 horas
18 m / 60 f / 12 cas
1 hora",246 MdJ*,TRUE,TRUE,TRUE,1000 po*,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TdS Car.,"Bardo, Druida, Clerigo, Brujo, Mago"
Augurio,Augury,2,El destino deja entrever sus intenciones.,"Obtienes un presagio de una entidad de otro mundo sobre los resultados de un curso de acción que planees llevar a cabo en los próximos 30 minutos. Tu DM elige el presagio de la siguiente tabla.
Presagio        Para los resultados que sean...
Fortuna        Buenos
Desdicha        Malos
Fortuna y desdicha        Buenos y malos
Indiferencia        Ni buenos ni malos

El conjuro no tiene en cuenta las circunstancias que puedan alterar los resultados, como lanzar otros conjuros. Si lanzas el conjuro más de una vez antes de finalizar un descanso largo, hay una posibilidad acumulativa del 25 % por cada lanzamiento después del primero de que no recibas ninguna respuesta.","Instant.
Lanzador
1 min o ritual",246 MdJ,TRUE,TRUE,TRUE,25 po,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Druida, Clerigo, Mago"
Aura de pureza,Aura of Purity,4,La corrupción no puede entrar.,"Un aura surge de ti en una emanación de 9 m / 30 pies hasta que el conjuro termine. Mientras permanezcáis dentro, tus aliados y tú tenéis resistencia al daño de veneno y ventaja en las tiradas de salvación para evitar o poner fin a efectos que provoquen los estados de asustado, aturdido, cegado, ensordecido, envenenado, hechizado o paralizado.
","10 min
Lanzador
Acción",247 MdJ,FALSE,TRUE,FALSE,~,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Clerigo, Paladín"
Aura de vida,Aura of Life,4,La vida se resiste a apagarse.,"Un aura surge de ti en una emanación de 9 m / 30 pies hasta que el conjuro termine. Mientras permanezcáis dentro, tus aliados y tú tenéis resistencia al daño necrótico y no se podrán reducir vuestros puntos de golpe máximos. Si un aliado con 0 puntos de golpe comienza su turno en el aura, recupera 1 punto de golpe.
","10 min
Lanzador
Acción",247 MdJ,FALSE,TRUE,FALSE,~,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Clerigo, Paladín"
Aura de vitalidad,Aura of Vitaliy,3,La energía vital fluye sin descanso.,"Un aura surge de ti en una emanación de 9 m / 30 pies hasta que el conjuro termine. Cuando creas el aura y al principio de cada uno de tus turnos mientras dure, puedes restaurar 2d6 puntos de golpe a una criatura en su interior.
","1 min
Lanzador
Acción",247 MdJ,FALSE,TRUE,FALSE,~,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Druida, Clerigo, Paladín"
Aura mágica de Nystul,Nystul's Magic Aura,2,La magia se disfraza de otra cosa.,"Con un toque, aplicas una ilusión a una criatura voluntaria o un objeto que no lleve ni vea nadie. Las criaturas obtienen el efecto de enmascarar y los objetos, el efecto de aura falsa, ambos descritos a continuación. El efecto durará hasta que termine el conjuro. Si lanzas el conjuro a diario sobre el mismo objetivo durante 30 días, la ilusión permanece hasta que sea disipada. Enmascarar (criaturas). Elige un tipo de criatura que no sea el auténtico del objetivo. Los conjuros y otros efectos mágicos tratan al objetivo como si fuese una criatura del tipo elegido. Aura falsa (objetos). Cambias la forma en la que el objetivo se revela ante conjuros y efectos mágicos que detectan las auras mágicas, como el de detectar magia. Puedes hacer que un objeto no mágico parezca mágico, que un objeto mágico parezca no mágico o cambiar el aura de un objeto para que parezca pertenecer a una escuela mágica de tu elección.","24 horas
Toque
Acción",247 MdJ,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Directo,Mago
Aura sagrada,Holy Aura,8,La divinidad te rodea.,"Con un toque, aplicas una ilusión a una criatura voluntaria o un objeto que no lleve ni vea nadie. Las criaturas obtienen el efecto de enmascarar y los objetos, el efecto de aura falsa, ambos descritos a continuación. El efecto durará hasta que termine el conjuro. Si lanzas el conjuro a diario sobre el mismo objetivo durante 30 días, la ilusión permanece hasta que sea disipada. 
Enmascarar (criaturas). Elige un tipo de criatura que no sea el auténtico del objetivo. Los conjuros y otros efectos mágicos tratan al objetivo como si fuese una criatura del tipo elegido.
Aura falsa (objetos). Cambias la forma en la que el objetivo se revela ante conjuros y efectos mágicos que detectan las auras mágicas, como el de detectar magia. Puedes hacer que un objeto no mágico parezca mágico, que un objeto mágico parezca no mágico o cambiar el aura de un objeto para que parezca pertenecer a una escuela mágica de tu elección.
","1 min
Lanzador
Acción",247 MdJ,TRUE,TRUE,TRUE,1000 po,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,Clerigo
Auxilio,Aid,2,Un empujón divino contra la desesperación.,"Elige hasta tres criaturas dentro del alcance. Los puntos de golpe máximos y actuales de cada objetivo aumentan en 5 hasta que termine el conjuro.
Con un espacio de conjuro de nivel superior. Los puntos de golpe de cada objetivo aumentan en 5 adicionales por cada nivel por encima de 2 que tenga el espacio.","8 horas
9 m / 30 f / 6 cas
Acción",247 MdJ,TRUE,TRUE,TRUE,~,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Directo,"Bardo, Druida, Clerigo, Explorador, Paladín"
Baile irresistibile de Otto,Otto's Irresistible Dance,6,El cuerpo baila aunque la mente suplique.,"Una criatura dentro del alcance debe hacer una tirada de salvación de Sabiduría. Si tiene éxito, baila cómicamente hasta el final de su próximo turno, usando todo su movimiento para bailar en su lugar. Si falla, queda Encantada, baila, y tiene desventaja en salvaciones de destreza y ataques. Otras criaturas tienen ventaja al atacarla. En cada turno, puede intentar liberarse haciendo una acción y repitiendo la salvación.","1 min
9 m / 30 f / 6 cas
Acción",247 MdJ*,FALSE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TdS Sab.,"Bardo, Mago"
Barrera de cuchillas,Blade Barrier,6,Cuchillas que no dejan pasar.,"Creas un muro de cuchillas giratorias hechas de energía mágica, que aparecerá dentro del alcance y durará hasta que termine el conjuro. Creas un muro recto de hasta 30 m / 100 pies de longitud, 6 m / 20 pies de altura y 1,5 m / 5 pies de grosor o un muro circular de hasta 18 m / 60 pies de diámetro, 6 m / 20 pies de altura y 1,5 m / 5 pies de grosor. El muro proporciona cobertura tres cuartos y su espacio es terreno difícil.
Cualquier criatura situada en el espacio del muro deberá hacer una tirada de salvación de Destreza; sufrirá 6d10 de daño de fuerza si la falla o la mitad del daño si la supera. Una criatura también deberá hacer la tirada si entra en el espacio del muro o termina su turno en él. Cada criatura solo hace esta tirada una vez por turno.","10 min
27 m / 90 f / 18 cas
Acción",248 MdJ,TRUE,TRUE,FALSE,~,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Directo,Clerigo
Bendición,Bless,1,La fortuna sonríe al grupo.,"Bendices hasta tres criaturas dentro del alcance. Siempre que un objetivo realice una tirada de ataque o una tirada de salvación antes de que termine el conjuro, añade 1d4 a la tirada de ataque o salvación.
Con un espacio de conjuro de nivel superior. Puedes hacer objetivo a una criatura adicional por cada nivel por encima de 1 que tenga el espacio,","1 min
9 m / 30 f / 6 cas
Acción",248 MdJ,TRUE,TRUE,TRUE,5 po,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Directo,"Clerigo, Paladín"
